,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_features,param_n_estimators,param_warm_start,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9,0.4027265071868896,0.008285354988030626,0.040300750732421876,0.0004998548308984183,True,balanced,gini,log2,200,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': False}",0.5629672225416906,0.730879815986199,0.7958596894767107,0.8158803222094362,0.7410817031070196,0.7293337506642111,0.08914509068393721,141
8,0.3987189769744873,0.003008583966076381,0.03969740867614746,0.00039958219817345545,True,balanced,gini,log2,200,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",0.5629672225416906,0.730879815986199,0.7958596894767107,0.8158803222094362,0.7410817031070196,0.7293337506642111,0.08914509068393721,141
3,0.40627322196960447,0.008686342919479397,0.03934154510498047,0.00034004897654607916,True,balanced,gini,sqrt,200,False,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': False}",0.5629672225416906,0.730879815986199,0.7958596894767107,0.8158803222094362,0.7410817031070196,0.7293337506642111,0.08914509068393721,141
2,0.4067539691925049,0.012099516093566787,0.03990106582641602,0.0001952422772954619,True,balanced,gini,sqrt,200,True,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",0.5629672225416906,0.730879815986199,0.7958596894767107,0.8158803222094362,0.7410817031070196,0.7293337506642111,0.08914509068393721,141
113,1.1093738555908204,0.018790114003767858,0.07848057746887208,0.005295628788869676,False,balanced,gini,sqrt,500,False,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': False}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
166,1.1214959621429443,0.015258538890069296,0.08117175102233887,0.007827714884250981,False,balanced_subsample,gini,sqrt,500,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': True}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
167,1.1107511520385742,0.016115934358304527,0.07916693687438965,0.005183016033426882,False,balanced_subsample,gini,sqrt,500,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500, 'warm_start': False}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
118,1.1361278533935546,0.024257974166213555,0.0814239501953125,0.004230993047388178,False,balanced,gini,log2,500,True,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': True}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
173,1.102165651321411,0.015730168421578233,0.08066515922546387,0.004449118778539148,False,balanced_subsample,gini,log2,500,False,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': False}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
172,1.0990500450134277,0.01340847203218696,0.07945399284362793,0.005445487134715458,False,balanced_subsample,gini,log2,500,True,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 500, 'warm_start': True}",0.5514663599769982,0.7285796434732605,0.7918343875790684,0.8176064441887226,0.7313003452243959,0.7241574360884891,0.09295770190317554,145
