,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
218,0.07087945938110352,0.0010588324195002464,0.0027448654174804686,0.000374746817124809,log_loss,10,2,2,10,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 10}",0.7044278320874066,0.6486486486486487,0.7619321449108684,0.7957422324510932,0.7071346375143843,0.7235770991224802,0.050853195903285235,109
142,0.07165226936340333,0.0011981000378753343,0.002876424789428711,0.00015511723102699498,entropy,10,2,10,6,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 6}",0.7015526164462335,0.648073605520414,0.7642323174238068,0.7911392405063291,0.7123130034522439,0.7234621566698054,0.05006028145986467,111
223,0.0714653491973877,0.0010312007179519023,0.002767801284790039,0.00029540456425924727,log_loss,10,2,10,6,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 6}",0.7015526164462335,0.648073605520414,0.7642323174238068,0.7911392405063291,0.7123130034522439,0.7234621566698054,0.05006028145986467,111
224,0.0698892593383789,0.001174025088970413,0.0033372879028320313,0.0004905148220322906,log_loss,10,2,10,10,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 10}",0.7038527889591719,0.6469235192639448,0.7630822311673375,0.7928653624856157,0.7100115074798619,0.7233470818711863,0.05061639922247118,113
143,0.06964855194091797,0.0015187827029469823,0.002706432342529297,0.00040211360054386643,entropy,10,2,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 10}",0.7038527889591719,0.6469235192639448,0.7630822311673375,0.7928653624856157,0.7100115074798619,0.7233470818711863,0.05061639922247118,113
219,0.06999521255493164,0.0017204280134843284,0.002925205230712891,0.00014715293592218372,log_loss,10,2,6,2,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 6, 'random_state': 2}",0.7050028752156412,0.6474985623921794,0.7607820586543991,0.7922899884925202,0.7105868814729575,0.7232320732455395,0.04981318352488501,115
138,0.0723480224609375,0.00236119927504308,0.0030661106109619142,0.00044030812179415163,entropy,10,2,6,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 6, 'random_state': 2}",0.7050028752156412,0.6474985623921794,0.7607820586543991,0.7922899884925202,0.7105868814729575,0.7232320732455395,0.04981318352488501,115
222,0.06994915008544922,0.0009075332733651278,0.002702808380126953,0.00036805773765813605,log_loss,10,2,10,2,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 2}",0.7015526164462335,0.6469235192639448,0.7630822311673375,0.7940161104718066,0.7100115074798619,0.7231171969658369,0.05111971566173499,117
141,0.07146077156066895,0.0015360545848873029,0.0029684066772460937,0.0003171498963918671,entropy,10,2,10,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 2}",0.7015526164462335,0.6469235192639448,0.7630822311673375,0.7940161104718066,0.7100115074798619,0.7231171969658369,0.05111971566173499,117
139,0.07048282623291016,0.0010968279023635345,0.0031176090240478517,0.00047555750325321947,entropy,10,2,6,6,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 6, 'random_state': 6}",0.7015526164462335,0.6469235192639448,0.7625071880391029,0.7934407364787112,0.7088607594936709,0.7226569639443327,0.05093067091316273,119
220,0.07047066688537598,0.0013814233076924734,0.002918052673339844,9.71190290243036e-05,log_loss,10,2,6,6,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 6, 'random_state': 6}",0.7015526164462335,0.6469235192639448,0.7625071880391029,0.7934407364787112,0.7088607594936709,0.7226569639443327,0.05093067091316273,119
